Parameter,Mean,Variance,Std
E_1_n,-1.038953219801622,0.22104230664243854,0.4701513656711406
E_2_n,-1.04408190716852,3.8386836030003453,1.959255879919809
G_12_n,0.05812556337135761,1.7373529738828388,1.3180868612814707
lambda_E1_n,0.6224430556667776,0.1676010439865816,0.409391064859239
lambda_E2_n,2.8594044188441656,0.38103037038171217,0.6172765752737683
lambda_G12_n,1.8332395062165634,0.6220221812492898,0.7886838284441299
lambda_P_n,2.2195531226867753,0.09423122630607997,0.3069710512508956
lambda_alpha_n,0.631549828653682,0.03298447434292007,0.18161628325378776
lambda_v12_n,1.6735888793918199,0.5828182257392741,0.7634253242716501
lambda_v23_n,1.4562129559006574,0.6827724542222261,0.8263004624361686
mu_emulator_n,0.8189694111179099,0.0019069771419974067,0.043668949403407986
sigma_emulator_n,-0.732343359712974,0.010672494008727938,0.1033077635452822
sigma_measure_n,-2.632074340553493,0.10661179438824837,0.32651461588763275
v_12_n,-0.07947877820442915,1.2891047800006454,1.1353875021333666
v_23_n,-0.17241571078782586,1.2675845152753507,1.1258705588456208
