,mean,variance,std
$\beta$ [mm/kN],0.007684872081326307,1.6997729542385314e-07,0.00041228302829955676
$\sigma_{\eta}$ [mm],0.014087813096749923,4.615112231343112e-06,0.0021482812272472875
"$\lambda_{\eta,P}$ [kN]",15.084606940999878,5.029360455341715,2.242623565233745
"$\lambda_{\eta,\alpha}$ [rad]",2.045963855265708,0.04317643074286478,0.20778939035202154
"$\lambda_{\eta,E_1}$ [MPa]",70590.07252686024,127577256.78790109,11295.010260637264
"$\lambda_{\eta,E_2}$ [MPa]",19877.407725890498,48855933.0036916,6989.70192523913
"$\lambda_{\eta,v_{12}}$ [-]",1.2260741793998435,0.24135132399885154,0.4912752018969119
"$\lambda_{\eta,v_{23}}$ [-]",1.3262727399942638,0.25807263470508174,0.5080084986543845
"$\lambda_{\eta,G_{12}}$ [GPa]",9357.650863846433,11000599.583372204,3316.71517971806
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],2.7371206799856078e-05,4.1914307557029875e-10,2.0472984041665708e-05
