Parameter,Mean,Variance,Std
E_1_n,-1.0281653318657362,0.19524080886491743,0.4418606215368342
E_2_n,-0.9987569315302678,3.694057212727283,1.9219930313940483
G_12_n,0.09478684159410858,1.6922703263676084,1.300872909383391
lambda_E1_n,0.5605190044874069,0.1577066013741747,0.39712290462043953
lambda_E2_n,2.833446106555252,0.38322438252794994,0.6190511954014385
lambda_G12_n,1.7365338874298772,0.6127163613178997,0.7827620080956278
lambda_P_n,2.212978981497011,0.10211107350305033,0.3195482334531836
lambda_alpha_n,0.5681316422552788,0.038639381310664966,0.19656902429087084
lambda_v12_n,1.6308111369377216,0.5877909146937759,0.7666752341727074
lambda_v23_n,1.4014697152050295,0.6469125885288006,0.8043087644237135
mu_emulator_n,0.8045321341059143,0.0018846402615293081,0.04341244362540893
sigma_constant_n,-4.424120837456874,0.05315553331692973,0.23055483798205087
sigma_emulator_n,-0.7860859431441056,0.009632235608629575,0.0981439535000989
v_12_n,-0.0830774730359908,1.2778648896857057,1.1304268617145055
v_23_n,-0.07752786837487165,1.3046232962346567,1.1422010752204081
