Parameter,Mean,Variance,Std
lambda_E1,83783.7646595004,303181021.9891517,17412.094129918773
lambda_E2,17616.415265895444,40746103.85059583,6383.267490133547
lambda_G12,6004.551600118387,6427506.688052768,2535.252785828815
lambda_P,13.927646503000565,4.804983828722262,2.1920273330235327
lambda_alpha,1.9438900255864195,0.030235548764812832,0.17388372196618299
lambda_v12,1.1202377831763548,0.19994126180322505,0.4471479193770503
lambda_v23,1.0090029741671258,0.19162957180767243,0.43775515052101033
mu_emulator,0.00817779887224274,2.1656898178634626e-07,0.0004653697259022618
sigma_emulator,0.013472673120747646,4.508850258524827e-06,0.0021234053448470048
sigma_measure,5.7760768986937505e-05,1.5117814027612085e-09,3.888163323165847e-05
