,mean,variance,std
$\beta$ [mm/kN],0.007430665059020029,1.6020888957966654e-07,0.00040026102680584146
$\sigma_{\eta}$ [mm],0.012296290065670817,3.2735977399006987e-06,0.0018093086358884982
"$\lambda_{\eta,P}$ [kN]",14.41201500580524,4.80600774793752,2.1922608758853315
"$\lambda_{\eta,\alpha}$ [rad]",1.8548356618402162,0.027332751650965437,0.1653261977152001
"$\lambda_{\eta,E_1}$ [MPa]",74063.58404232656,135037923.02424422,11620.581871156204
"$\lambda_{\eta,E_2}$ [MPa]",19131.00277927189,46312591.302908,6805.335502597061
"$\lambda_{\eta,v_{12}}$ [-]",1.1467823577970087,0.20183691250114894,0.4492626319884049
"$\lambda_{\eta,v_{23}}$ [-]",1.3132125606823333,0.27242865212876205,0.5219469821052346
"$\lambda_{\eta,G_{12}}$ [GPa]",9196.876753704772,10482319.436264144,3237.641029555955
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],6.822605043073792e-05,2.1497108426648707e-09,4.636497430889907e-05
