Parameter,Mean,Variance,Std
E_1_n,-1.0742888025567359,0.20597675455109019,0.4538466200723436
E_2_n,-0.7202537856452331,4.21836084125323,2.0538648546711222
G_12_n,0.17784886457894025,1.5672411951244598,1.251895041576753
lambda_E1_n,0.5731199316843396,0.17606165455393602,0.41959701447214326
lambda_E2_n,2.832461655457117,0.42039122888085,0.6483758392173863
lambda_G12_n,1.802679516789842,0.551498951219792,0.7426297537937676
lambda_P_n,2.235717725142433,0.10254448988014632,0.3202256858531906
lambda_alpha_n,0.5757834260553455,0.04093098480156693,0.20231407465020057
lambda_v12_n,1.582650841227115,0.5426435586998349,0.7366434406820134
lambda_v23_n,1.4299243727003992,0.63420825501156,0.796371932586502
mu_emulator_n,0.8058696889958171,0.0019619148917341144,0.04429350846042922
sigma_emulator_n,-0.7810585172536132,0.010359811311218128,0.10178315828867823
sigma_measure_base_n,-2.8232337295257657,0.13181310258114437,0.3630607422748215
sigma_measure_n,-2.9430720134164394,0.10785379839801391,0.32841102051851717
v_12_n,-0.15183419861004133,1.3653959531268287,1.1685015845632511
v_23_n,-0.1377715846591698,1.2464669163070377,1.1164528276228411
