Parameter,Mean,Variance,Std
E_1_n,-1.0474790046894564,0.22109278933430387,0.4702050503071015
E_2_n,-0.9696154278487681,3.944516690350881,1.9860807361109167
G_12_n,0.052278458981281146,1.6019376491635404,1.2656767554014494
lambda_E1_n,0.6278225011391622,0.1588308752133561,0.3985359145840637
lambda_E2_n,2.8549200940136026,0.39811499125301414,0.6309635419364689
lambda_G12_n,1.8556165723376838,0.6152527904718716,0.7843805138272315
lambda_P_n,2.23944291326464,0.09740820545528167,0.31210287639700096
lambda_alpha_n,0.6380032835972874,0.03247552985877521,0.18020968303278048
lambda_v12_n,1.6718931066379414,0.5947823154548798,0.7712213141860641
lambda_v23_n,1.4549294507052446,0.6593561716827483,0.8120074948439505
mu_emulator_n,0.8179530276253738,0.0021421898748893563,0.0462837971096728
sigma_emulator_n,-0.7262155311065133,0.010858831710720383,0.10420571822467509
sigma_measure_base_n,-2.576198539578003,0.12905903622917228,0.35924787574761285
sigma_measure_n,-2.628896130018186,0.10768444187865087,0.3281530768995635
v_12_n,-0.03767042828613851,1.2841453364195896,1.1332013662273752
v_23_n,-0.18841019127538636,1.2433628910827923,1.1150618328517896
