Parameter,Mean,Variance,Std
lambda_E1,83170.22486481155,310467281.18156326,17620.081758651497
lambda_E2,17434.95222257446,40253505.59119783,6344.56504349966
lambda_G12,6093.889983664073,6285796.882986482,2507.14915451524
lambda_P,13.785187464106203,4.241032935086638,2.0593768317349395
lambda_alpha,1.9299488520718797,0.03032044691291741,0.17412767417305444
lambda_v12,1.146177720234974,0.1930584213335666,0.4393841386913808
lambda_v23,1.0118849935327208,0.19425081562169752,0.44073894271064534
mu_emulator,0.008190928178025036,2.0682068214204717e-07,0.0004547754194567327
sigma_emulator,0.013226408344177721,3.920864522253053e-06,0.0019801173001246803
sigma_measure,5.304326884204492e-05,1.381009622259782e-09,3.716193781626278e-05
