Parameter,Mean,Variance,Std
lambda_E1,80661.74285436056,257008081.14393342,16031.471583854473
lambda_E2,17604.19241098857,37193458.16044567,6098.643960787157
lambda_G12,5782.944040079258,6037030.476825064,2457.036930293288
lambda_P,13.77607406342858,4.795873939780529,2.1899483874695607
lambda_alpha,1.8760231766667113,0.03328874391754749,0.18245203182630632
lambda_v12,1.0949458687758302,0.2071199360400936,0.45510431336133655
lambda_v23,0.9816034287387909,0.17911782114557118,0.4232231339914811
mu_emulator,0.008030366304855574,1.8715331239072566e-07,0.00043261219630371685
sigma_constant,7.14557538015576e-05,2.983796987097154e-09,5.462414289576683e-05
sigma_emulator,0.012228661954880213,3.4704530238544322e-06,0.0018629151950248384
sigma_measure,0.010162383762702593,9.937388997803356e-05,0.009968645343176452
