Parameter,Mean,Variance,Std
lambda_E1,80605.939488171,255468894.33233297,15983.394330752557
lambda_E2,17312.596245704965,33006425.243102163,5745.121864947876
lambda_G12,5751.56869170348,5552150.611588739,2356.300195558439
lambda_P,13.844902930975103,5.10571472142939,2.259582864475076
lambda_alpha,1.8699476284292864,0.033430166704259884,0.1828391826285052
lambda_v12,1.1008764459048137,0.21059874469398643,0.4589103885226248
lambda_v23,0.9971792158902469,0.17203578631855984,0.41477196906078384
mu_emulator,0.008048053467282493,1.870089239595291e-07,0.0004324452843534418
sigma_emulator,0.01227433037999039,3.8161225100594205e-06,0.0019534898285016537
sigma_measure,4.639912651234241e-05,1.2293007189873109e-09,3.5061385012393774e-05
