Parameter,Mean,Variance,Std
E_1_n,-0.9942570657109575,0.19672951611190417,0.443542011665078
E_2_n,-1.1969237987302417,3.4018068876097605,1.844398787575442
G_12_n,0.04528164241408217,1.563513550084968,1.250405354309141
lambda_E1_n,0.6138518481200725,0.17264913702262918,0.41551069423376963
lambda_E2_n,2.823720315235747,0.41063119925797353,0.6408051180023249
lambda_G12_n,1.8742122023840058,0.6242686005624708,0.7901067020108555
lambda_P_n,2.225033597594936,0.0888647741930844,0.29810195268244116
lambda_alpha_n,0.6268739192209398,0.03246730275884349,0.18018685512224106
lambda_v12_n,1.7290943722123957,0.5878510426011357,0.7667144465843433
lambda_v23_n,1.4497141491159793,0.6981436162827529,0.8355498885660586
mu_emulator_n,0.8190928178025035,0.0020682068214204715,0.045477541945673265
sigma_emulator_n,-0.7363576359272941,0.009714584832718913,0.09856259347601865
sigma_measure_n,-2.670881768157578,0.11998119871204382,0.3463830231290844
v_12_n,-0.06884916928208841,1.3083923803954198,1.1438498067471183
v_23_n,-0.16607843616376253,1.265872148396563,1.1251098383698201
