,mean,variance,std
"$b_{\alpha,1}$ [deg]",0.054335223134279576,0.36278882408752905,0.6023195365315067
"$b_{\alpha,2}$ [deg]",-0.8357582516679627,0.4194854291744792,0.6476769481573967
"$b_{\alpha,3}$ [deg]",-1.633979576374354,0.43155975016803827,0.6569320742421079
"$b_{\alpha,4}$ [deg]",0.7472862320777757,0.6094031512794609,0.7806427808411865
"$b_{\alpha,5}$ [deg]",1.4771276113058238,0.6115123874650047,0.7819925750702527
"$b_{\alpha,6}$ [deg]",1.7008443117347087,0.7177244493741933,0.847186195221684
"$b_{\alpha,7}$ [deg]",-1.1552951193887695,0.4281678343539461,0.6543453479271829
"$b_{\alpha,8}$ [deg]",0.2089428860530886,0.4509570809416738,0.6715333803629376
