Parameter,Mean,Variance,Std
lambda_E1,81064.60830876481,274150483.7592308,16557.49026148682
lambda_E2,17567.746032183226,37531673.72331854,6126.3099597815435
lambda_G12,5780.223607423907,6043518.600542057,2458.356890392861
lambda_P,13.797529607073699,4.825237300314939,2.196642278641413
lambda_alpha,1.875003750210425,0.03147727919711804,0.1774183733357908
lambda_v12,1.0853867248321736,0.20169778141132286,0.44910776146858433
lambda_v23,0.9871581910752362,0.18038612959506786,0.42471888302154387
mu_emulator,0.008049339783416182,1.9717863238292174e-07,0.00044404800684489255
sigma_emulator,0.012309681617581709,3.792206412067682e-06,0.0019473588298173714
sigma_measure,4.818439755246468e-05,1.1794967447639839e-09,3.4343802130282314e-05
