Parameter,Mean,Variance,Std
lambda_E1,83750.21013620526,301101695.9055154,17352.282152659787
lambda_E2,17592.83424988905,37755783.0505774,6144.573463681381
lambda_G12,6013.536197708651,6551023.429423026,2559.496714087171
lambda_P,13.856133211185101,4.676728967181481,2.1625746154020864
lambda_alpha,1.9382123607962876,0.02995047083022295,0.17306204329726074
lambda_v12,1.1368633511192123,0.2202952971856658,0.46935625827900257
lambda_v23,1.0081558489803895,0.17881671751571981,0.42286725755929583
mu_emulator,0.008191995546585068,2.1003246644269712e-07,0.0004582929919196857
sigma_constant,7.49499031953649e-05,3.0711435934453134e-09,5.5417899576267896e-05
sigma_emulator,0.013429072278691513,4.391762509643453e-06,0.0020956532417467
