Parameter,Mean,Variance,Std
E_1_n,-1.0482701549112625,0.21533274625775423,0.4640395955710614
E_2_n,-1.003463442449681,3.9181560636428756,1.9794332682974882
G_12_n,-0.02032987684860215,1.6169771529668369,1.2716041652050518
lambda_E1_n,0.6306867368442487,0.15927702986880812,0.39909526415231755
lambda_E2_n,2.845231193423275,0.40276440683576364,0.6346372245903668
lambda_G12_n,1.8400871743324134,0.6473519177415984,0.8045818278718445
lambda_P_n,2.2336137697987746,0.09495016501458396,0.3081398465219712
lambda_alpha_n,0.6355337588594892,0.03210583924503067,0.17918102367446914
lambda_v12_n,1.7021758771430662,0.6146976497288386,0.784026561877108
lambda_v23_n,1.4505529418445215,0.6680340954102064,0.8173335276435235
mu_emulator_n,0.8191995546585068,0.0021003246644269707,0.04582929919196856
sigma_constant_n,-4.413634852923036,0.056024934693993694,0.2366958696175193
sigma_emulator_n,-0.7266156216249178,0.010407674413027748,0.10201801023852479
v_12_n,-0.03801724643010239,1.2782779664177437,1.1306095552478512
v_23_n,-0.1602986054422122,1.2910478222073773,1.1362428535341278
