Parameter,Mean,Variance,Std
E_1_n,-1.0490620428796538,0.20417477996363315,0.4518570348723511
E_2_n,-0.9091914349805637,3.8963466524194166,1.9739165768642344
G_12_n,0.12507876145072047,1.5800081969594504,1.256983769568824
lambda_E1_n,0.5565796330818298,0.16238218959887601,0.4029667351021372
lambda_E2_n,2.8084414922099477,0.39669044090215155,0.6298336612964979
lambda_G12_n,1.752495396693832,0.5814465506863298,0.7625264262216292
lambda_P_n,2.214837675624266,0.10425846998764385,0.3228908019557755
lambda_alpha_n,0.569211615294169,0.034511624820265936,0.18577304653868906
lambda_v12_n,1.6152270817327452,0.568940006430631,0.7542811189673456
lambda_v23_n,1.4133618423740792,0.6863183675609351,0.8284433399822435
mu_emulator_n,0.803819728306915,0.0019174919286237704,0.04378917592994609
sigma_emulator_n,-0.7876111725669541,0.009909840232676707,0.09954818045889491
sigma_measure_n,-2.704957871114167,0.11655197672970999,0.34139709537386226
v_12_n,-0.0864387821279859,1.3817787489249644,1.175490854462494
v_23_n,-0.11049169475194395,1.2077476504930964,1.0989757278907921
