Parameter,Mean,Variance,Std
lambda_E1,80729.20906268689,280569979.66165406,16750.22327199414
lambda_E2,17255.64285715136,35385868.714002244,5948.6022487641785
lambda_G12,5712.854084026786,5475069.156887085,2339.8865692351596
lambda_P,13.741778958836255,4.968676760382292,2.2290528841600623
lambda_alpha,1.8755614349820207,0.03022637013353442,0.17385732694808814
lambda_v12,1.0826532539580362,0.1859112666189267,0.431174287984484
lambda_v23,0.9943724525979993,0.20069888157065138,0.4479942874308236
mu_emulator,0.008038197283069148,1.9174919286237707e-07,0.00043789175929946097
sigma_emulator,0.012241028613234107,3.6399807883240893e-06,0.0019078733680001115
sigma_measure,4.81319495807658e-05,1.216766453658212e-09,3.488217960016564e-05
