Parameter,Mean,Variance,Std
E_1_n,-1.0628804909272538,0.20918542250219865,0.4573679290267286
E_2_n,-0.8187111885682896,4.025162905021556,2.006280863942423
G_12_n,0.10649778589626369,1.6266832529067101,1.2754149336222742
lambda_E1_n,0.5561864607802887,0.15778546139368707,0.397222181396869
lambda_E2_n,2.8145652897060662,0.41769189030335563,0.6462908712827032
lambda_G12_n,1.779935552397037,0.5817064878783976,0.7626968518870375
lambda_P_n,2.2095751806826187,0.10128027178399347,0.31824561549845976
lambda_alpha_n,0.5671060873879173,0.03529083098789676,0.18785853983222792
lambda_v12_n,1.620009131183068,0.5660483990568387,0.7523618803852563
lambda_v23_n,1.3888579665706553,0.6681787507263652,0.8174220150732211
mu_emulator_n,0.8040852291145579,0.00204406302787476,0.045211315263712026
sigma_emulator_n,-0.7888846275831343,0.009852971312339462,0.0992621343329845
sigma_measure_n,-3.994843995040441,0.06385346817622348,0.25269243790866297
v_12_n,-0.0976971249110588,1.3986960858973254,1.182664823987475
v_23_n,-0.09526367783536537,1.289755989235291,1.135674244330341
