Parameter,Mean,Variance,Std
lambda_E1,81543.43752561843,284138620.3386236,16856.41184649401
lambda_E2,17478.618854615186,33754971.483789675,5809.90288075366
lambda_G12,5614.3729848237135,5448966.757312727,2334.302199226297
lambda_P,13.722194085503373,4.830362531383964,2.1978085747816993
lambda_alpha,1.8695699649451893,0.02949419999185447,0.17173875506668396
lambda_v12,1.0907121800929764,0.20717440257056055,0.4551641490391797
lambda_v23,1.0038286639007323,0.203251802612995,0.45083456235408015
mu_emulator,0.008040591669445233,2.0044999129933352e-07,0.00044771641839375684
sigma_emulator,0.012208099014366277,3.5911497916666595e-06,0.0018950329262750712
sigma_measure,4.790164057935273e-05,1.1719760750942698e-09,3.42341361084849e-05
