Parameter,Mean,Variance,Std
E_1_n,-1.055046534387951,0.19847576673415537,0.4455061915777999
E_2_n,-0.9361634444416345,3.8031587159292983,1.9501688942061655
G_12_n,0.14571371261457108,1.6781315354318729,1.2954271633063252
lambda_E1_n,0.5765772388942921,0.1638225070959379,0.4047499315576692
lambda_E2_n,2.838176077270385,0.38524361393786166,0.6206799609604468
lambda_G12_n,1.7143040090941977,0.5930332202783388,0.7700865018154381
lambda_P_n,2.212801837661324,0.10068495125597436,0.3173089208578517
lambda_alpha_n,0.5629415987496195,0.034042739921688575,0.18450674763186461
lambda_v12_n,1.6202335302826405,0.6011735526753977,0.7753538241831259
lambda_v23_n,1.4268811298219446,0.7177733292645738,0.8472150431056886
mu_emulator_n,0.8040591669445236,0.002004499912993335,0.04477164183937568
sigma_emulator_n,-0.7892524236369262,0.009680560555157036,0.09838983969474203
sigma_measure_n,-3.40309231045287,0.08494379673367804,0.29145119099718575
v_12_n,-0.15922091623077098,1.3280466888771791,1.152409080525305
v_23_n,-0.09424521680746574,1.268482328737308,1.1262692079326806
