Parameter,Mean,Variance,Std
E_1_n,-1.0541803149077795,0.1983499792353963,0.445364995520973
E_2_n,-0.8949363688797225,3.933507818888573,1.9833072931062834
G_12_n,0.12538801055465057,1.6761038212036405,1.2946442836561867
lambda_E1_n,0.5394917653553537,0.15917324425224735,0.39896521684508707
lambda_E2_n,2.8075947984180876,0.38318368670778113,0.6190183250177503
lambda_G12_n,1.7310903158982611,0.6406143883601769,0.8003839006128103
lambda_P_n,2.1823253884641574,0.10358572720432302,0.32184736631565436
lambda_alpha_n,0.5553995622746182,0.039215622695785754,0.19802934806686043
lambda_v12_n,1.594591324175829,0.608931357005827,0.780340539127519
lambda_v23_n,1.3734428628695674,0.6651917964603804,0.8155929109919853
mu_emulator_n,0.08048116314912604,1.8523986206876555e-05,0.004303950070211846
sigma_constant_n,-4.42410797166048,0.05469434425910937,0.23386821985705833
sigma_emulator_n,0.5085807429495717,0.023489550966318298,0.1532630123882416
v_12_n,-0.05755034132071997,1.3414399742289438,1.1582054974092222
v_23_n,-0.07507899211150036,1.27951981267279,1.1311586151697692
