Parameter,Mean,Variance,Std
b_135_1,0.00013773559408042886,1.1637233000796894e-08,0.00010787600753085412
b_135_2,4.8989161264270304e-05,1.1467242352215047e-08,0.00010708521070724494
b_45_1,0.0001952981436746405,8.729940925847203e-09,9.343415288772731e-05
b_45_2,-0.00011029177708439475,8.64665444325914e-09,9.298738862479761e-05
b_45_3,-0.00018893806094222104,8.657429200045611e-09,9.304530724354459e-05
b_90_1,-5.97295948208695e-05,9.904799545755073e-09,9.952285941307692e-05
b_90_2,2.5039359390681076e-05,9.509149147511629e-09,9.751486628976952e-05
b_90_3,-5.920349019571402e-05,1.024186265450896e-08,0.00010120208819243287
