Parameter,Mean,Variance,Std
gamma_scale_h,0.021605879579595536,0.0006585895657155329,0.025662999936007732
gamma_scale_v,0.06315175165344479,0.003458527404393312,0.058809245909068684
mu_emulator_h,0.010860663770196635,6.920874017538313e-08,0.0002630755408155291
mu_emulator_v,0.005942220837009444,7.736331015887425e-07,0.0008795641543336919
sigma_b_slope,0.00017777616488912851,4.295934911676726e-09,6.554338190600731e-05
sigma_measure,0.0006731159640072111,4.0284787802765517e-10,2.0071070674671422e-05
